"Ne","Alarm Id","Hostip","Ac Power Failure Time","Ac Power Failure Since Days"
"SITE NAME=CDR249_MAHENDRA JOTI VDC","65041","10.11.200.57","18-JUL-16 08.29.59.000000 PM","1"
"SITE NAME=WDR748_BUTWAL NT MICRO RAMAPUR","65041","10.11.63.72","19-JUL-16 05.40.29.000000 AM","0"
